iter	TotalF1	MultiClass
263	0.9848402798	0.3915843134
264	0.9838743107	0.389570828
265	0.9843526638	0.3876521472
266	0.9843486653	0.3858515799
267	0.9843486653	0.3844128619
268	0.9853369305	0.3820695809
269	0.9858277392	0.38045767
270	0.9863190835	0.3790998239
271	0.9858089183	0.3775176086
272	0.9872745165	0.3752066128
273	0.9872745165	0.3738837406
274	0.9877869394	0.3724198002
275	0.9882791977	0.370582898
276	0.9887647391	0.3686042413
277	0.9882791977	0.3663724155
278	0.9887647391	0.3647324085
279	0.9892674307	0.3635476147
280	0.9887816846	0.3619298376
281	0.9892674307	0.3600861468
282	0.9897577513	0.358858859
283	0.9902352354	0.357192218
284	0.9907291125	0.355334298
285	0.9902352354	0.3535502787
286	0.9912171324	0.3524796963
287	0.9917036554	0.3512000093
288	0.9921976459	0.3491987599
289	0.9931677744	0.3478389761
290	0.9931677744	0.3463576499
291	0.9931677744	0.3454748422
292	0.9936552081	0.3434371023
293	0.9936552081	0.341538682
294	0.9931677744	0.3401424033
295	0.9931677744	0.3390636969
296	0.9936552081	0.3376917286
297	0.9936552081	0.3359841753
298	0.9941376781	0.3340390628
299	0.9941376781	0.3322248544
300	0.9941376781	0.3314751543
301	0.9941376781	0.3302692272
302	0.9941376781	0.3288538234
303	0.9936552081	0.327111874
304	0.9936552081	0.3258305649
305	0.9936518539	0.3249027051
306	0.9936552081	0.3233587059
307	0.9941437129	0.3214055258
308	0.9951188302	0.3198347543
309	0.9951188302	0.3181486928
310	0.9951188302	0.3170528767
311	0.9956115779	0.3156673603
312	0.9956115779	0.3146422362
313	0.9956115779	0.3129052635
314	0.996098781	0.3107668946
315	0.9965859669	0.3094519432
316	0.9965859669	0.3077298877
317	0.9965859669	0.3061559048
318	0.9970763978	0.3048241425
319	0.9970763978	0.3036821532
320	0.9970763978	0.301954405
321	0.9970763978	0.3001635485
322	0.9970763978	0.2985066573
323	0.9975634839	0.2976615842
324	0.9970763978	0.2965132535
325	0.9975634839	0.2952474556
326	0.9970763978	0.293634705
327	0.9975634839	0.2923431158
328	0.9975683672	0.2913990071
329	0.9975683672	0.2901503377
330	0.9975683672	0.2888889519
331	0.9980554672	0.2877622611
332	0.9980554672	0.2860365064
333	0.9980554672	0.2845203892
334	0.9980554672	0.2833732586
335	0.9980542603	0.281487924
336	0.9975683672	0.2804811414
337	0.9985413603	0.2792176658
338	0.9985413603	0.2777757335
339	0.9985413603	0.2762725711
340	0.9985413603	0.2747297797
341	0.9990242601	0.2732057344
342	0.9990242601	0.271683026
343	0.9990242601	0.2708923428
344	0.9990242601	0.2696629647
345	0.9990242601	0.2680482403
346	0.9990242601	0.266851726
347	0.9990242601	0.2655156512
348	0.9990242601	0.2644252921
349	0.9990242601	0.2635735606
350	0.9990242601	0.2624003006
351	0.9990242601	0.2610789716
352	0.9995122074	0.2595608003
353	0.9995122074	0.2582541362
354	0.9995122074	0.2569783832
355	0.9995122074	0.2561939886
356	0.9995122074	0.2550948775
357	0.9995122074	0.2541918746
358	0.9995122074	0.2531694546
359	0.9995122074	0.2524219117
360	0.9995122074	0.2513764205
361	0.9995122074	0.2503755344
362	0.9995122074	0.2495396506
363	0.9995122074	0.2483537473
364	0.9995122074	0.2474275596
365	0.9995122074	0.2461365668
366	0.9995122074	0.2453187002
367	0.9995122074	0.2446713117
368	0.9995122074	0.2440308586
369	0.9995122074	0.2427962035
370	0.9995122074	0.2418788337
371	0.9995122074	0.2407749545
372	0.9995122074	0.2397112889
373	0.9995122074	0.2388350277
374	0.9995122074	0.2380293199
375	0.9995122074	0.2370725432
376	0.9995122074	0.2359706284
377	0.9995122074	0.2352751842
378	0.9995122074	0.2342323245
379	0.9995122074	0.2330687023
380	0.9995122074	0.232253179
381	0.9995122074	0.2313823356
382	0.9995122074	0.2306526535
383	0.9995122074	0.2300667892
384	0.9995122074	0.2292357187
385	0.9995122074	0.2285268256
386	0.9995122074	0.227645461
387	0.9995122074	0.2270473418
388	0.9995122074	0.2261794289
389	0.9995122074	0.2255854607
390	0.9995122074	0.2248855341
391	0.9995122074	0.223997875
392	0.9995122074	0.2233090611
393	0.9995122074	0.2224683088
394	0.9995122074	0.2216020367
395	0.9995122074	0.2207807858
396	0.9995122074	0.2200585358
397	0.9995122074	0.219249161
398	0.9995122074	0.21820967
399	0.9995122074	0.2174209346
400	0.9995122074	0.2162464696
401	0.9995122074	0.2154779832
402	0.9995122074	0.2147738538
403	0.9995122074	0.2140963451
404	0.9995122074	0.213438752
405	0.9995122074	0.212801086
406	0.9995122074	0.2119793966
407	0.9995122074	0.2113952046
408	0.9995122074	0.2107920619
409	0.9995122074	0.209600247
410	0.9995122074	0.2086846737
411	0.9995122074	0.2080610722
412	0.9995122074	0.2073396178
413	0.9995122074	0.2068012284
414	0.9995122074	0.205892751
415	0.9995122074	0.2048705131
416	0.9995122074	0.2042252151
417	0.9995122074	0.2035907047
418	1	0.2027446205
419	1	0.2021268828
420	0.9995122074	0.2014763616
421	1	0.2006096886
422	1	0.1998255143
423	1	0.1990215299
424	1	0.1985373323
425	1	0.1980353358
426	1	0.1973430366
427	1	0.196549635
428	1	0.195881646
429	1	0.1949498717
430	1	0.1942677492
431	1	0.1936373919
432	1	0.1929678166
433	1	0.1920034434
434	1	0.1914657824
435	1	0.1908049337
436	1	0.1901062487
437	1	0.1897349201
438	1	0.1891810226
439	1	0.1885398848
440	1	0.1881350411
441	1	0.1875834742
442	1	0.1869247599
443	1	0.1861628928
444	1	0.1855428568
445	1	0.1850786483
446	1	0.1845915321
447	1	0.1840805281
448	1	0.1833646167
449	1	0.1828667194
450	1	0.1821945504
451	1	0.1816561565
452	1	0.1812397889
453	1	0.1805780238
454	1	0.1798994455
455	1	0.1794415896
456	1	0.1788208083
457	1	0.1782305136
458	1	0.1777131385
459	1	0.1768089608
460	1	0.1763739077
461	1	0.1757585688
462	1	0.175378314
463	1	0.1747390503
464	1	0.1744847334
465	1	0.1740699857
466	1	0.173250963
467	1	0.1726609951
468	1	0.1722162623
469	1	0.1717081554
470	1	0.1711794181
471	1	0.1706211999
472	1	0.1700741078
473	1	0.1692935913
474	1	0.1689613051
475	1	0.1684139378
476	1	0.1679028116
477	1	0.1672702136
478	1	0.166788104
479	1	0.1659951987
480	1	0.1655713996
481	1	0.1650476357
482	1	0.1645047937
483	1	0.1638799972
484	1	0.1633861729
485	1	0.1627853783
486	1	0.1622158579
487	1	0.1617043494
488	1	0.1614627135
489	1	0.1610371888
490	1	0.1607560885
491	1	0.1601300146
492	1	0.1596092311
493	1	0.1591098132
494	1	0.1588005685
495	1	0.1582221111
496	1	0.157748819
497	1	0.1573044373
498	1	0.1566691834
499	1	0.1561776123
