date,ADM2_NAME,mean,source
2009-01-01,Hamirpur,-0.7803772343275699,GRACE
2009-01-01,Mahoba,-0.5688100191424088,GRACE
2009-01-01,Banda,-1.1425180810377884,GRACE
2009-01-01,Chitrakoot,-1.846964350588825,GRACE
2009-01-01,Hamirpur,-2.19879412651062,GRACE
2009-01-01,Aurangabad,-6.029802744266653,GRACE
2009-01-01,Chhatarpur,-1.0002979925767874,GRACE
2009-01-01,Damoh,-1.8479502287787475,GRACE
2009-01-01,Datia,-0.32920265139513744,GRACE
2009-01-01,Panna,-1.6022305907558694,GRACE
2009-01-01,Sagar,-1.4369232286367133,GRACE
2009-01-01,Tikamgarh,-0.6170398945660077,GRACE
2009-01-01,Jalaun,-0.6505375400614215,GRACE
2009-01-01,Jhansi,-0.4158767798484865,GRACE
2009-01-01,Lalitpur,-0.6773655764029785,GRACE
2009-01-01,Latur,0.07761005096831233,GRACE
2009-01-01,Nanded,-1.190412039547373,GRACE
2009-01-01,Osmanabad,0.6270679964605558,GRACE
2009-01-01,Aurangabad,1.041207816038949,GRACE
2009-01-01,Hingoli,-1.0561494737416843,GRACE
2009-01-01,Jalna,0.3985028291230569,GRACE
2009-01-01,Parbhani,-0.17595129858894012,GRACE
2009-01-01,Pudukkottai,3.2494305379742943,GRACE
2009-01-01,Ramanathapuram,3.0839852471566758,GRACE
2009-01-01,Thanjavur,3.1917975269882968,GRACE
2009-01-01,Cuddalore,3.2742428562402224,GRACE
2009-01-01,Nagapattinam,3.194534203967419,GRACE
2009-02-01,Hamirpur,-6.109066886526782,GRACE
2009-02-01,Mahoba,-5.9442433902314304,GRACE
2009-02-01,Banda,-6.414219945364571,GRACE
2009-02-01,Chitrakoot,-6.971699520863524,GRACE
2009-02-01,Hamirpur,-0.6378094553947449,GRACE
2009-02-01,Aurangabad,-11.259329137782535,GRACE
2009-02-01,Chhatarpur,-6.491050943408192,GRACE
2009-02-01,Damoh,-7.509552071365246,GRACE
2009-02-01,Datia,-5.609529283378193,GRACE
2009-02-01,Panna,-7.134562584983019,GRACE
2009-02-01,Sagar,-7.076261949397884,GRACE
2009-02-01,Tikamgarh,-6.066387376681945,GRACE
2009-02-01,Jalaun,-5.798109700983807,GRACE
2009-02-01,Jhansi,-5.778537221008025,GRACE
2009-02-01,Lalitpur,-6.193573342436726,GRACE
2009-02-01,Latur,-6.468512984281488,GRACE
2009-02-01,Nanded,-7.68471433984494,GRACE
2009-02-01,Osmanabad,-5.875409508084179,GRACE
2009-02-01,Aurangabad,-6.288733695621669,GRACE
2009-02-01,Hingoli,-7.776892041333062,GRACE
2009-02-01,Jalna,-6.733812420304684,GRACE
2009-02-01,Parbhani,-7.033987392068656,GRACE
2009-02-01,Pudukkottai,-2.077528373363333,GRACE
2009-02-01,Ramanathapuram,-1.885135842980974,GRACE
2009-02-01,Thanjavur,-1.9409186168679708,GRACE
2009-02-01,Cuddalore,-2.3564964983124126,GRACE
2009-02-01,Nagapattinam,-1.9831150521676217,GRACE
2009-03-01,Hamirpur,-9.077342678256972,GRACE
2009-03-01,Mahoba,-8.708370733148268,GRACE
2009-03-01,Banda,-9.75457482621814,GRACE
2009-03-01,Chitrakoot,-10.675929050598667,GRACE
2009-03-01,Hamirpur,-0.8451054692268372,GRACE
2009-03-01,Aurangabad,-15.87004263613183,GRACE
2009-03-01,Chhatarpur,-9.286200653062812,GRACE
2009-03-01,Damoh,-9.891057709143341,GRACE
2009-03-01,Datia,-7.648801567033973,GRACE
2009-03-01,Panna,-10.208112267006497,GRACE
2009-03-01,Sagar,-9.157634264670207,GRACE
2009-03-01,Tikamgarh,-8.379823289922552,GRACE
2009-03-01,Jalaun,-8.374405589292206,GRACE
2009-03-01,Jhansi,-8.188939777987915,GRACE
2009-03-01,Lalitpur,-8.284572827589502,GRACE
2009-03-01,Latur,-6.62969983181472,GRACE
2009-03-01,Nanded,-7.831819671797631,GRACE
2009-03-01,Osmanabad,-6.077891234045067,GRACE
2009-03-01,Aurangabad,-6.535025384777597,GRACE
2009-03-01,Hingoli,-7.861497154436404,GRACE
2009-03-01,Jalna,-6.903512911897469,GRACE
2009-03-01,Parbhani,-7.126665335326297,GRACE
2009-03-01,Pudukkottai,-1.5907212919581109,GRACE
2009-03-01,Ramanathapuram,-1.2423792486174376,GRACE
2009-03-01,Thanjavur,-1.6788458156014308,GRACE
2009-03-01,Cuddalore,-2.322482675460142,GRACE
2009-03-01,Nagapattinam,-1.7903153968315604,GRACE
2009-04-01,Hamirpur,-12.511189467767286,GRACE
2009-04-01,Mahoba,-12.133537089131307,GRACE
2009-04-01,Banda,-13.188731354856824,GRACE
2009-04-01,Chitrakoot,-14.072016865616543,GRACE
2009-04-01,Hamirpur,-0.7318186163902283,GRACE
2009-04-01,Aurangabad,-18.962597775116446,GRACE
