date,ADM2_NAME,mean,source
2003-04-01,Jalna,-14.159814737569672,GRACE
2003-04-01,Parbhani,-13.689953576472574,GRACE
2003-04-01,Pudukkottai,-1.9983380185291693,GRACE
2003-04-01,Ramanathapuram,-1.33581988694638,GRACE
2003-04-01,Thanjavur,-2.033084721417549,GRACE
2003-04-01,Cuddalore,-3.0047555143547466,GRACE
2003-04-01,Nagapattinam,-2.185150354346935,GRACE
2003-05-01,Hamirpur,-10.465137038537813,GRACE
2003-05-01,Mahoba,-10.676027412119982,GRACE
2003-05-01,Banda,-10.256382067992044,GRACE
2003-05-01,Chitrakoot,-9.995823687479037,GRACE
2003-05-01,Hamirpur,6.606130123138428,GRACE
2003-05-01,Aurangabad,-11.60374129647267,GRACE
2003-05-01,Chhatarpur,-12.074516335459638,GRACE
2003-05-01,Damoh,-14.285579861840164,GRACE
2003-05-01,Datia,-10.462143119056423,GRACE
2003-05-01,Panna,-12.278497566846974,GRACE
2003-05-01,Sagar,-14.836556098110819,GRACE
2003-05-01,Tikamgarh,-12.041589312601744,GRACE
2003-05-01,Jalaun,-9.06906366183233,GRACE
2003-05-01,Jhansi,-10.836780693537678,GRACE
2003-05-01,Lalitpur,-13.454574110875406,GRACE
2003-05-01,Latur,-14.785847515723459,GRACE
2003-05-01,Nanded,-16.70692917760288,GRACE
2003-05-01,Osmanabad,-13.749046102295779,GRACE
2003-05-01,Aurangabad,-15.91063997864983,GRACE
2003-05-01,Hingoli,-16.826870737537558,GRACE
2003-05-01,Jalna,-16.04596242989346,GRACE
2003-05-01,Parbhani,-15.85612406879351,GRACE
2003-05-01,Pudukkottai,-4.464932656933362,GRACE
2003-05-01,Ramanathapuram,-1.8536924215131185,GRACE
2003-05-01,Thanjavur,-4.696949873201292,GRACE
2003-05-01,Cuddalore,-7.167035788193231,GRACE
2003-05-01,Nagapattinam,-5.0998529245784585,GRACE
2003-07-01,Hamirpur,3.93988684182481,GRACE
2003-07-01,Mahoba,3.404181528156759,GRACE
2003-07-01,Banda,4.710190855192769,GRACE
2003-07-01,Chitrakoot,5.780140608549116,GRACE
2003-07-01,Hamirpur,8.69742488861084,GRACE
2003-07-01,Aurangabad,10.233450264785851,GRACE
2003-07-01,Chhatarpur,2.161732440062005,GRACE
2003-07-01,Damoh,0.19356688871288075,GRACE
2003-07-01,Datia,2.639780404213618,GRACE
2003-07-01,Panna,2.2691672603781816,GRACE
2003-07-01,Sagar,-0.69493477780457,GRACE
2003-07-01,Tikamgarh,1.5572151777107623,GRACE
2003-07-01,Jalaun,4.923795739828009,GRACE
2003-07-01,Jhansi,2.7662369782214045,GRACE
2003-07-01,Lalitpur,0.06719008970646513,GRACE
2003-07-01,Latur,-1.8438933406504956,GRACE
2003-07-01,Nanded,-1.721509563383039,GRACE
2003-07-01,Osmanabad,-2.0717946895597765,GRACE
2003-07-01,Aurangabad,-2.7744343846452,GRACE
